danceability,energy,instrumentalness,liveness,valence,music_genre
0.395,0.0134,0.93,0.105,0.106,Classical
0.556,0.5379999999999999,0.0,0.196,0.291,Rap
0.473,0.649,0.000104,0.0971,0.62,Alternative
0.7,0.701,0.0,0.0828,0.3979999999999999,Country
0.0642,0.0104,0.969,0.2189999999999999,0.0373,Classical
0.512,0.78,0.0242,0.0856,0.609,Blues
0.37,0.87,0.0,0.604,0.331,Rap
0.565,0.526,0.0001189999999999,0.11,0.637,Blues
0.411,0.845,0.0146,0.0763,0.391,Rock
,,,,,
0.401,0.863,0.0,0.0689,0.674,Country
0.7709999999999999,0.7959999999999999,0.0,0.15,0.782,Country
0.344,0.748,0.82,0.15,0.147,Electronic
0.28,0.976,0.0,0.215,0.107,Rock
0.507,0.726,0.341,0.154,0.7509999999999999,Jazz
0.586,0.871,0.0,0.106,0.921,Country
0.603,0.0903,0.000785,0.0866,0.377,Jazz
0.8340000000000001,0.374,0.0,0.134,0.545,Rap
0.665,0.621,2.6e-05,0.12,0.408,Country
0.588,0.857,0.0138,0.103,0.263,Electronic
0.362,0.449,0.0090599999999999,0.1119999999999999,0.348,Blues
0.623,0.716,2.54e-06,0.113,0.203,Hip-Hop
0.706,0.664,0.902,0.134,0.863,Jazz
0.469,0.74,0.000276,0.449,0.655,Electronic
0.687,0.994,2.21e-06,0.5329999999999999,0.37,Electronic
0.608,0.6759999999999999,0.0,0.347,0.57,Rap
0.583,0.515,0.000691,0.0931,0.603,Rock
0.473,0.25,8.83e-05,0.1009999999999999,0.261,Country
0.7240000000000001,0.8320000000000001,0.00294,0.287,0.7340000000000001,Blues
0.679,0.2189999999999999,0.0,0.104,0.366,Country
0.515,0.405,0.0,0.106,0.49,Jazz
0.636,0.479,0.0,0.408,0.935,Country
0.5529999999999999,0.5489999999999999,0.0274,0.0847,0.147,Alternative
0.353,0.363,0.0,0.961,0.213,Alternative
0.178,0.7659999999999999,0.652,0.3329999999999999,0.653,Blues
0.4029999999999999,0.698,0.00126,0.256,0.0833,Alternative
0.603,0.92,0.11,0.222,0.401,Alternative
,,,,,
0.482,0.754,0.2269999999999999,0.11,0.301,Alternative
