rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
48,Kazaam,1996,PG,1h 33m,3.1,25K,['Paul Michael Glaser'],"['Paul Michael Glaser', 'Christian Ford', 'Roger Soffer']","['Comedy', 'Family', 'Fantasy']","[""Shaquille O'Neal"", 'Francis Capra', 'Ally Walker']"
49,Student of the Year 2,2019,Not Rated,2h 26m,2.2,22K,['Punit Malhotra'],"['Arshad Syed', 'Karan Johar']","['Action', 'Comedy', 'Drama']","['Tiger Shroff', 'Ananya Panday', 'Tara Sutaria']"
50,The Emoji Movie,2017,PG,1h 26m,3.4,69K,['Tony Leondis'],"['Writers', 'Tony Leondis', 'Eric Siegel', 'Mike White', '']","['Animation', 'Adventure', 'Comedy']","['T.J. Miller', 'James Corden', 'Anna Faris']"
51,Vampires Suck,2010,PG-13,1h 22m,3.4,51K,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Comedy', 'Horror']","['Jenn Proske', 'Matt Lanter', 'Diedrich Bader']"
52,Steel,1997,PG-13,1h 37m,3.0,15K,['Kenneth Johnson'],"['Louise Simonson', 'Jon Bogdanove', 'Kenneth Johnson']","['Action', 'Adventure', 'Crime']","[""Shaquille O'Neal"", 'Annabeth Gish', 'Judd Nelson']"
53,The Open House,2018,TV-MA,1h 34m,3.3,36K,"['Matt Angel', 'Suzanne Coote']","['Matt Angel', 'Suzanne Coote']","['Horror', 'Thriller']","['Dylan Minnette', 'Piercey Dalton', 'Patricia Bethune']"
54,The Starving Games,2013,PG-13,1h 23m,3.2,22K,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Adventure', 'Comedy', 'Sci-Fi']","['Maiara Walsh', 'Brant Daugherty', 'Cody Christian']"
55,Laxmii,2020,TV-MA,2h 21m,2.5,58K,"['Raghava Lawrence', 'Balakrishnan Thevar']","['Writers', 'Farhad Samji', 'Raghava Lawrence', 'Sparsh Khetarpal', '']","['Action', 'Comedy', 'Horror']","['Akshay Kumar', 'Kiara Advani', 'Sharad Kelkar']"
56,Breach,2020,R,1h 32m,2.9,19K,['John Suits'],"['Edward Drake', 'Corey Large']","['Action', 'Horror', 'Sci-Fi']","['Cody Kearsley', 'Bruce Willis', 'Rachel Nichols']"
57,Tees Maar Khan,2010,Not Rated,2h 15m,2.6,14K,['Farah Khan'],"['Writers', 'Vishal Dadlani', 'Anvita Dutt', 'Ashmith Kunder', '']","['Comedy', 'Crime']","['Akshay Kumar', 'Katrina Kaif', 'Akshaye Khanna']"
58,Scary Movie V,2013,PG-13,1h 26m,3.5,76K,"['Malcolm D. Lee', 'David Zucker']","['Writers', 'David Zucker', 'Pat Proft', 'Shawn Wayans', '']","['Comedy', 'Horror']","['Simon Rex', 'Ashley Tisdale', 'Charlie Sheen']"
59,Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,1h 25m,3.4,42K,['Troy Miller'],"['Writers', 'Peter Farrelly', 'Bennett Yellin', 'Bobby Farrelly', '']",['Comedy'],"['Derek Richardson', 'Eric Christian Olsen', 'Eugene Levy']"
60,Texas Chainsaw Massacre: The Next Generation,1994,R,1h 27m,3.3,25K,['Kim Henkel'],"['Writers', 'Kim Henkel', 'Tobe Hooper', '']","['Comedy', 'Horror', 'Thriller']","['Renée Zellweger', 'Matthew McConaughey', 'Robert Jacks']"
61,Gunday,2014,Not Rated,2h 32m,2.7,60K,['Ali Abbas Zafar'],"['Ali Abbas Zafar', 'Sanjay Masoomm']","['Action', 'Drama', 'Musical']","['Ranveer Singh', 'Arjun Kapoor', 'Priyanka Chopra Jonas']"
62,The Room,2003,R,1h 39m,3.6,94K,['Tommy Wiseau'],['Tommy Wiseau'],['Drama'],"['Tommy Wiseau', 'Juliette Danielle', 'Greg Sestero']"
63,The Master of Disguise,2002,PG,1h 20m,3.3,27K,['Perry Andelin Blake'],"['Dana Carvey', 'Harris Goldberg']","['Adventure', 'Comedy', 'Family']","['Dana Carvey', 'Jennifer Esposito', 'Harold Gould']"
64,Police Academy: Mission to Moscow,1994,PG,1h 23m,3.5,36K,['Alan Metter'],"['Writers', 'Neal Israel', 'Pat Proft', 'Randolph Davis', '']","['Comedy', 'Crime']","['G.W. Bailey', 'George Gaynes', 'Michael Winslow']"
65,Daddy Day Camp,2007,PG,1h 33m,3.2,18K,['Fred Savage'],"['Writers', 'Geoff Rodkey', 'J. David Stem', 'David N. Weiss', '']","['Comedy', 'Family']","['Cuba Gooding Jr.', 'Lochlyn Munro', 'Richard Gant']"
